1   破位了，前期涨幅过大，接下来步入调整周期，34元有一个小的技术支撑，不一定能撑住。,,,,,,,,,,,,
0   你好，那你还不肯卖，哈哈。以下为问答私密内容，你已经解锁获得查看权限走势来看，短线确实难看，上面17一线压力山大，还是先离场较好。正所谓君子不立危墙之下，等走稳再入场比较好。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，这走势不能 补仓，短线风险大，先看看最后一个切口能不能撑住7.8一线，破了就要调整了。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限虽有利好，申冬奥成功，但他本来就走的比其它强，马上进入第一次抄底盘压力区，高度有限，上压在30上方，谨慎为上。在大盘的系统性风险没有完全释放前，建议3成仓参与。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票中线还可以，就是暴发力差，不大适合短线。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限历史低位附近，有补仓需求，行业利空多，暴发力较差。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，汽车股是可以买的，相对低位，有补涨潜力。不过一汽要强些。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限仍可持股，关注9块重压能否拿下！估计会有震荡区形成。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限中国重工暴发力强些。短线留他。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限18块---3浪基本结束，理论将进入4浪调整，估计以盘势时间换空间来整理、,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限挺好的，这票中线没问题，短线急涨难，慢慢涨还是可期的。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这种票，20天线不破不用跑的，可以持股为主。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票中线还可以，短线有点难度。下方在14一线才有支撑。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以买。,,,,,,,,,,,,
1   周四晚间证监会核发25家企业IPO批文，这是4月份第二次核准IPO申请，超出市场预期。本批共25家拟上市公司，数量与此前批次相当，但证监会表示“将在继续保持按月均衡核准首发企业的基础上，适度加大新股供给，由每月核发一批次增加到核发两批次”，对市场人气有一定影响。以下为问答私密内容，你已经解锁获得查看权限国中当前是30F震荡，最好下周9块撑住，就有一笔急涨。不过盘整仍未结束。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限机场看走势明天该调整了，解套没那么快啦，复星中线票，最好在20天线附近入场。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限业现不稳，价值没有，短线玩玩可以，不过股性不活，也没事件驱动，不算很好的标的。,,,,,,,,,,,,
0   你好，谢谢以下为问答私密内容，你已经解锁获得查看权限前几天没看到问题，中捷资源最好回档到7.6附近，而哈空调会有一次新低，现在最好等待下一次绝佳入场机会。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这走势显然不是哇，短线已走弱，建议出局。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，不建议再追了。,,,,,,,,,,,,
0    详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限没多少空间了，短线不应追，纯炒作、7.6如撑不住最后的止损点。,,,,,,,,,,,,
1   大箱体的结构没那么易突破的，这种票逢20天线入场就可以了。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限行业前景不明，建议换股，不是牛市理品种。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限空间不大，短线补涨，量还可以，建议再拉一笔换股。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限现在还没到买点，4.3要看能不能撑住，撑住反身向上过4.6，才能才创新高。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限可以持股，大盘不稳时，医药反而安全。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限吉电今天形态一般，尾盘有回落，但是电力板块今天主力流入明显，上压在11.3一线民丰特纸形态不错，仍有空间，建议暂持。上压在11一线。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限买高了，短线是6.6-6.9的盘区，好在后市仍有新高。短线要浪费点时间了。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限你好，周一调整概率大，不建议追高。房地产短线可以关注。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限短线21.5一线有支撑，正在下跌一笔中，中线高估了。,,,,,,,,,,,,
0   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限这票明天要出了，出阶段顶分卖出信号了。,,,,,,,,,,,,
1   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限走势进入盘整周期，短线不是很理想。可持股。,,,,,,,,,,,,
9   详细回答见私密部分。以下为问答私密内容，你已经解锁获得查看权限周线五连阳，有补仓需求，短线可暂持。,,,,,,,,,,,,
